, Deepseek 67B Conversation-Improved CV Scalable PM Score, GPT-35 Conversation-Improved CV Scalable PM Score, GPT-4o Conversation-Improved CV Scalable PM Score, Mixtral-8x7B-Instruct-v0.1 Conversation-Improved CV Scalable PM Score, Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CV Scalable PM Score, claude-3-5-sonnet Conversation-Improved CV Scalable PM Score,True Label
54,81.301,81.858,79.517,80.113,80.981,79.993,1
55,82.732,83.117,80.442,80.846,80.737,81.399,1
56,77.76,73.767,80.149,80.571,80.541,82.418,1
57,82.481,81.227,79.28,77.692,81.653,80.063,1
58,77.336,75.303,83.661,84.427,84.387,84.721,1
59,82.747,83.749,83.853,81.815,82.523,83.065,1
60,82.914,82.737,78.928,79.418,78.607,79.135,1
61,78.01,79.429,80.549,78.813,78.84,77.799,1
62,80.126,77.171,78.487,75.603,78.536,77.227,1
63,79.293,79.387,78.625,71.722,79.533,81.676,1
64,80.39,80.079,78.289,79.407,76.93,82.154,1
65,81.665,79.561,80.55,79.663,82.144,80.792,1
66,77.865,78.217,80.786,79.61,79.246,78.704,1
67,82.469,80.552,77.402,78.167,79.928,78.374,1
68,82.36,82.613,82.38,81.566,82.26,82.305,1
69,79.269,77.747,79.366,78.827,78.58,78.931,1
70,82.16,81.435,84.101,83.586,82.194,83.561,1
71,81.905,84.066,84.121,82.356,82.392,83.322,1
72,84.055,81.124,82.708,81.984,82.372,82.661,1
73,80.337,79.455,79.513,73.606,78.862,82.821,1
74,80.456,80.945,80.919,77.696,79.913,78.137,1
75,81.048,79.286,80.733,80.703,80.932,81.436,1
76,78.82,79.912,74.921,75.847,77.276,77.099,1
77,81.02,85.181,83.405,83.036,83.827,83.881,1
78,80.784,82.069,80.344,80.553,79.612,79.547,1
79,82.008,79.884,81.854,80.684,79.688,80.445,1
80,84.605,83.765,77.14,76.212,77.125,75.549,1
81,81.868,79.826,81.69,81.501,82.975,82.726,1
82,82.184,78.953,86.949,85.36,86.534,84.468,1
83,79.277,78.538,84.42,83.141,80.83,80.57,1
84,82.576,80.645,80.762,79.388,82.572,82.155,1
85,81.089,79.935,78.174,78.6,78.583,77.952,1
86,81.69,82.418,82.2,81.005,82.17,81.295,1
87,81.42,82.131,77.889,77.831,79.265,79.756,1
88,84.35,82.259,79.031,81.826,80.851,80.401,1
89,81.782,82.472,81.071,78.619,78.269,79.486,1
90,82.84,81.78,79.139,80.534,79.862,80.434,1
91,82.866,82.413,83.154,81.37,82.398,83.442,1
92,78.722,78.864,81.61,80.914,81.126,81.811,1
93,79.105,80.105,80.208,80.675,81.971,80.386,1
94,81.722,81.8,78.705,78.52,79.444,79.407,1
95,78.01,75.872,81.389,81.995,82.323,83.183,1
96,83.81,83.266,80.448,79.74,81.762,81.424,1
97,81.568,80.408,83.983,82.986,80.523,81.106,1
98,80.487,80.755,81.146,80.129,82.592,83.164,1
