,Unnamed: 0.1,Unnamed: 0,Cleaned Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CVGeneral PM Score,Cleaned Twice Meta-Llama-3-70B-Instruct-Turbo Conversation-Improved CVGeneral PM Score,Cleaned claude-3-5-sonnet Conversation-Improved CVGeneral PM Score,Cleaned Twice claude-3-5-sonnet Conversation-Improved CVGeneral PM Score,CVGeneral PM Score,Cleaned GPT-4o Conversation-Improved CVGeneral PM Score,Cleaned Twice GPT-4o Conversation-Improved CVGeneral PM Score,Cleaned Mixtral-8x7B-Instruct-v0.1 Conversation-Improved CVGeneral PM Score,True Label,Cleaned Deepseek 67B Conversation-Improved CVGeneral PM Score,Cleaned Twice Deepseek 67B Conversation-Improved CVGeneral PM Score,Cleaned GPT-35 Conversation-Improved CVGeneral PM Score,Cleaned Twice GPT-35 Conversation-Improved CVGeneral PM Score
42,42,42,81.095,81.179,81.318,83.108,78.352,78.956,82.889,81.957,1,79.475,79.475,79.049,79.049
43,43,43,84.332,85.273,85.791,85.836,77.569,81.154,85.781,81.337,1,79.115,79.115,77.121,76.532
44,44,44,86.411,85.823,83.14,81.815,81.4,83.551,83.719,82.525,1,78.14,78.934,76.829,77.03
45,45,45,86.859,88.407,85.373,86.457,80.433,81.859,85.664,84.651,1,78.422,76.306,77.848,77.848
46,46,46,81.085,81.564,82.417,82.613,77.913,80.715,81.559,80.275,1,78.143,77.089,76.189,76.189
47,47,47,83.246,83.028,82.471,82.259,78.224,80.523,78.97,78.241,1,81.35,82.591,81.581,81.581
48,48,48,89.934,89.831,86.631,85.688,78.616,81.432,89.421,86.145,1,78.427,78.427,81.844,81.844
49,49,49,86.467,86.523,81.663,81.993,82.665,81.869,83.115,81.569,1,80.276,80.276,77.194,78.144
50,50,50,79.182,79.629,80.812,80.618,77.253,76.649,79.254,80.109,1,82.445,82.555,81.176,80.46
51,51,51,85.951,85.974,85.069,83.384,82.326,82.631,86.306,83.753,1,86.201,86.349,85.179,85.179
52,52,52,85.804,84.129,85.066,83.759,79.771,78.591,85.622,85.354,1,78.504,77.474,78.509,78.509
53,53,53,86.753,86.485,83.43,82.838,80.879,78.885,84.017,85.819,1,84.537,84.537,84.15,84.241
54,54,54,84.058,83.704,81.947,82.71,82.084,81.967,82.486,82.697,1,83.379,83.2,82.796,81.821
55,55,55,83.479,81.905,83.1,81.299,81.642,81.356,81.618,82.461,1,86.144,85.154,85.43,85.785
56,56,56,82.701,83.113,83.102,81.175,79.963,78.467,84.261,81.83,1,78.835,76.882,73.85,74.273
57,57,57,82.873,82.281,81.802,82.947,81.826,82.104,80.227,79.526,1,85.921,86.551,85.926,86.201
58,58,58,87.755,88.081,87.961,85.158,84.519,84.996,90.056,87.204,1,76.602,74.343,74.53,74.53
59,59,59,85.323,84.723,83.69,83.866,83.08,83.633,84.819,81.927,1,82.915,81.816,85.314,84.889
60,60,60,79.812,79.536,79.149,80.733,78.746,77.72,79.952,79.55,0,89.513,90.084,87.61,87.85
61,61,61,80.106,81.443,78.645,78.194,78.746,79.134,81.349,79.692,0,80.649,80.649,81.887,81.359
62,62,62,77.257,76.643,76.584,77.724,77.378,77.406,78.007,77.158,0,84.855,84.345,80.562,79.234
63,63,63,80.883,81.455,80.458,78.741,78.146,78.668,78.391,70.06,0,84.273,85.542,83.835,83.883
64,64,64,76.28,78.083,79.002,79.109,78.979,78.45,77.272,76.748,0,86.363,86.363,85.135,85.624
65,65,65,82.891,82.961,80.99,80.978,82.444,80.775,82.032,80.926,0,83.514,82.377,79.576,79.576
66,66,66,78.865,79.953,77.758,81.047,78.751,79.86,79.046,78.744,0,79.68,78.346,78.903,78.903
67,67,67,77.102,77.142,76.524,75.879,76.843,76.941,74.656,74.195,0,89.682,89.293,84.155,85.357
68,68,68,84.211,84.438,83.064,83.145,81.87,82.043,82.809,83.196,0,84.876,86.852,84.508,84.508
69,69,69,78.94,78.575,77.895,79.653,79.423,79.292,79.374,79.955,0,81.579,81.579,79.8,78.2
70,70,70,87.416,88.275,88.768,87.839,82.197,84.096,88.721,86.798,1,85.781,85.85,83.549,83.841
71,71,71,84.585,84.809,84.919,83.268,84.302,83.262,85.248,83.942,1,82.985,84.035,86.24,86.24
72,72,72,88.956,88.767,87.462,86.215,85.336,82.87,83.276,87.422,1,84.72,84.582,83.819,83.819
73,73,73,82.634,82.488,83.202,81.04,80.849,81.594,82.591,73.015,1,83.73,83.705,82.153,81.466
74,74,74,86.574,85.65,80.749,83.475,82.766,82.495,85.601,84.457,1,83.765,83.765,82.132,83.976
75,75,75,82.763,83.665,82.0,81.199,84.833,82.952,81.035,82.084,1,83.374,83.462,80.931,80.526
76,76,76,79.595,79.822,80.139,79.924,75.195,75.305,77.431,77.076,1,80.417,80.154,82.039,82.058
77,77,77,86.905,87.407,86.943,86.001,79.679,81.236,83.972,85.624,1,88.176,88.176,89.051,89.051
78,78,78,85.637,86.279,83.118,84.287,81.075,80.474,83.828,83.923,1,82.119,80.199,83.058,82.791
79,79,79,84.857,87.559,86.169,86.285,81.148,81.882,85.687,87.19,1,85.303,85.303,82.485,82.485
80,80,80,77.843,77.581,76.31,76.269,77.365,75.961,77.215,78.019,0,85.901,87.018,84.792,84.792
81,81,81,81.844,84.648,83.121,82.439,81.807,79.763,82.501,82.001,0,84.846,84.846,81.548,81.027
82,82,82,86.093,84.972,82.408,83.718,85.444,86.701,85.28,84.949,0,84.369,84.369,81.85,81.85
83,83,83,79.396,79.224,78.276,78.564,80.646,82.988,80.771,80.413,0,84.465,84.651,83.179,82.771
84,84,84,83.787,83.567,81.881,83.531,83.755,83.237,83.399,80.219,0,85.108,84.47,81.104,81.104
85,85,85,78.584,78.437,77.252,78.437,79.21,76.966,75.901,77.017,0,86.657,86.389,84.651,84.472
86,86,86,81.172,81.835,80.408,80.566,80.915,82.506,78.384,79.666,0,85.299,85.57,82.967,82.511
87,87,87,79.473,79.803,81.369,81.548,77.692,77.635,78.689,78.493,0,81.333,81.121,82.014,80.754
88,88,88,78.677,78.808,78.281,78.549,79.808,79.111,76.113,80.05,0,87.337,87.082,85.853,85.895
89,89,89,78.666,76.665,79.027,80.862,80.683,81.0,81.339,78.564,0,88.532,89.948,87.879,87.879
90,90,90,83.113,84.537,83.936,83.723,78.114,78.398,81.666,82.165,1,84.548,85.051,80.659,80.659
91,91,91,83.097,83.178,85.402,86.198,83.907,85.599,86.168,82.317,1,86.779,86.908,88.68,88.059
92,92,92,83.701,83.122,84.449,83.744,81.405,81.359,85.147,83.235,1,80.195,80.87,80.577,80.577
93,93,93,84.915,84.681,83.102,82.865,81.94,82.914,81.48,82.387,1,86.362,86.455,84.953,84.953
94,94,94,83.676,83.002,83.763,85.026,79.44,78.385,84.262,83.159,1,82.438,80.891,82.948,82.948
95,95,95,84.235,84.549,86.138,85.708,79.644,79.728,83.337,81.812,1,80.415,80.793,78.225,78.298
96,96,96,84.501,85.473,84.629,83.318,77.232,78.968,84.894,82.821,1,88.01,87.803,87.384,87.228
97,97,97,83.583,83.551,86.064,85.987,82.958,84.605,87.762,86.009,1,85.259,84.802,83.951,83.951
98,98,98,83.484,82.669,82.857,83.184,80.229,80.979,82.388,80.528,1,84.512,85.274,84.753,84.826
99,99,99,86.965,87.772,85.079,84.002,81.014,81.757,86.961,86.258,1,,,,
