,Cleaned GPT-35 Conversation-Improved CV
14,"Experience:• Created thousands of concepts and led successful advertising campaigns during professional career• Established and managed the design department in the largest ecommerce company in the country• Implemented automation in design and development processes, resulting in significant productivity increase• Successfully launched multiple household appliance brands• Founded and oversaw a design bureau and printing studio• Recruited, trained, and supervised dozens of design specialistsExtensive experience in:• Electronic commerce as a senior designer, head of design team, and art director• Trading companies as a creative designer• Advertising agencies as a graphic designer• Publishing and entertainment as a leading designer• Printing and product designQualifications:• Professional expertise in graphic and web design• Proficient in developing brand identity and brand promotion• Skilled in creating key visuals and overseeing material implementation across various channels• Experienced in digital advertising campaign development and implementation• Strong team management skills in design departments• Proficient in business problem-solving through customer and user experience analytics• Proficient in animation, motion design, and video editing• High proficiency in layout design and print preparationSoft skills:• Ability to identify and solve complex product problems• Critical thinking, analytical skills• Effective management and communication skills, negotiation skills, stress resistance• Emotional intelligence, empathy• Decision-making skills, design thinking, creativity, enterprise• Quick and easy learner, self-learning, cross-functionalitySeeking to join a team of enthusiastic and ambitious professionals to contribute to the development and enhancement of a company's product that will have a global impact."
15,"As a self-taught individual, I take pride in my portfolio which showcases my advanced knowledge, skills, and abilities, including:- Proficiency in Adobe Photoshop Beta & Illustrator, Figma, and Procreate App- Strong technical understanding- Knowledge of current design and technology trends- Upper-Intermediate English level- Effective verbal and written communication skills- Time and self-management skillsHello! I am a Digital 2D Artist & UI/UX Designer based in Kyiv. I am eager to establish strong connections and collaborations.EXPERIENCE- Freelance Web-designer (Dec 2018 - Nov 2019)- UI/UX-Designer / Illustrator (Nov 2019 - Aug 2021)- Full stack: UI/UX-Designer / Illustrator / Graphic designer (Apr 21 - Present)SKILLS- Upper-Intermediate English proficiency- UI/UX Design / Adaptive design- Illustration (raster/vector)- Banner design- Logo designTOOLS- Adobe Photoshop- Adobe Illustrator- Procreate App- Figma- MidjourneyAWARDSRED DOT / Brands & Communication Design (Aug 22)I am seeking a position within a successful company with a supportive team, where I can leverage my skills and continue to grow. I am dedicated to continuous improvement and am committed to giving my best effort in all that I do."
16,"Skills:- Proficient in Photoshop, Illustrator, Figma, Webflow- Experience in branding, advertising, illustration, web ads, social media ads, digital design, digital imagery, digital analytics, and E-blast- Knowledge of UI/UX design, HTML/CSSSoft skills:- Ability to work independently and in a team- Creative problem solver- Effective communication with customersCompleted courses:- Dare IT - Product Design- Hillel (IT School) - Basic Web Design- Cases Media - Figma (90)- Cases Media - Graphic Design, Composition (91)Summary:Digital designer with extensive marketing experience and expertise in Photoshop, Illustrator, Figma, and Webflow. Skilled in creating visually stunning designs to help brands grow. Experienced in working with clients from multiple countries as a freelance and in-house manager. Passionate about collaborating with clients and colleagues to deliver award-winning campaigns. Seeking a long-term partnership where I can utilize my skills to enhance customer experience. Available for freelance opportunities. Feel free to reach out for further discussion."
17,"Digital Graphic Designer (NDA) July 2021 – Present day• Web content development• Creation of logos, posters, graphics for events• Infographics• Development of landing pages• Work with small architectural forms for advertising campaigns of events• Design of presentations and training materials• Creation of vector illustrations and mascotsDigital Graphic & UI/UX Designer (ReevArts) July 2020 – July 2021• Produced 500+ designs for social media• Created 250+ designs for TV• Conducted constant UI/UX designs for 2 products for over a year• Ensured quality control of animators' work through designer review process• Storyboarding and creating illustrations for showreels and promosTechnical Graphic Designer (Polygraphy) April 2019 – July 2020• Developed designs based on customer requirements and prepared for printing• Designed special layouts for printing on T-shirts and sweatshirts• Prepared layouts for stickers and created clipping paths• Oversaw the work of in-house designers and designs received from customers• Ensured quality control of printing and cutting results• Developed technological mapsGraphic & Web (UI/UX) Designer (Freelance Design; Self-employed) April 2018 – March 2019• Created final art and files for developers and animators• Collaborated closely with editors and project managers• Produced final art for presentations and assisted in creative presentations• Designed websites and interfaces• Conducted prototyping and templatingAssistant Manager (АМО1, ООО) October 2013 – June 2014• Conducted client prospecting and communication, addressing objections• Searched for tenders in company's areas of activities• Analyzed demand for production of new parts in the market• Worked with drawings and fulfilled personal orders of the head• Analyzed competitors' market and conducted price monitoring• Maintained the enterprise's website"
18,"Dynamic junior UI/UX designer with a strong foundation in design principles and user-centered methodologies. Completed a 6-month UI/UX design course and additional studies in HTML/CSS. Proficient in design software including Figma, Photoshop, and Illustrator. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.Experience:- Real estate site redesign: Conducted research and analysis of competitors to create a modern and user-friendly design for a real estate company in Destin, Florida. Developed 3 user personas and a customer journey map to improve customer experience. - Web service for booking excursions: Designed and developed a web service for users to find and book tours and excursions around the world. Analyzed market competitors, created task lists, customer journey maps, wireframes, and UI kits to ensure a seamless user experience. Skills:- UI/UX design- Prototyping- Wireframing- User research- Design software (Figma, Photoshop, Illustrator)- Collaboration- Adaptive designSeeking a full-time position in a product company focused on creating digital products for everyday life and business. Quick learner, responsible, and capable of performing complex tasks."
19,"Redesigned User Interface of Indian Cafe; Mobile App Optimization; Web-Service; Landing PageFlower Lover Mobile App for Delivering Flowers- Developed mobile application for ordering and delivering bouquets and gifts online, including gift and flower recommendations- Enabled users to order gifts for specific dates, times, and special occasionsSeeking UX/UI design roles that align with passion for creating user-centered digital experiences, emphasizing creativity and collaboration within cross-functional teams. Not interested in roles focused on routine maintenance tasks without opportunities for design innovation. Looking for positions that allow for thorough user research, thoughtful ideation, and testing, prioritizing quality over speed and user satisfaction."
20,"During my training, I completed three projects, two independently and one as part of a team. I am skilled at working both collaboratively and individually, with experience leading and generating ideas in team settings. Throughout my training, I gained valuable technical knowledge and theoretical insights.Flowers delivery mobile app- Developed a user-friendly and intuitive interface for an online flowers ordering service- Conducted persona research to understand customer demand- Created an easy-to-use app for customers to order bouquets from any locationPet Scout. Animal pet search web service- Conducted UX research and competitor analysis- Worked on user flow and web service architecture- Applied design principles to enhance user experience- Collaborated with a team to create wireframes, mockups, prototypes, and Behance projectsBarbershop Landingpage- Developed a landing page showcasing barbershop services and enabling appointment bookings- Conducted competitor analysis and persona development- Created desktop, tablet, and mobile versions of the siteTattoo Studio Website Redesign- Designed a website for a tattoo studio offering artist portfolios and consultation bookings- Analyzed competitor data by age, sex, and other demographics- Utilized insights to create a visually appealing and user-friendly websiteI am seeking remote opportunities in a company or freelance capacity to further my growth as a designer. I value mentorship and aim to contribute to creating products that meet customer needs."
21,"Skills:- Proficient in Figma, Illustrator, Protopie, Photoshop- Experienced in low and high fidelity prototypes- Skilled in vector illustration, components, adaptive design, logo creation, landing page design- Ability to improve user interface and user experience for web and mobile applicationsExperience:Website Redesign:- Redesigned ""Destin Tattoo Company"" website- Conducted competitor analysis, prototyping, text and color selection, logo development, wireframes creation, and component adaptation for tablet and mobile devicesWebservice:- Collaborated on ""The Lost Pets"" project- Developed a flow for people finding or returning animals, and created a unique logo for the web serviceMobile App Design:- Designed ""Suit Store"" mobile application- Created a user-friendly flow for male shoppers across different categoriesObjective:Seeking a full-time position in a creative and collaborative team where I can contribute to solving challenging problems and enhancing user interfaces. Interested in opportunities for creative growth in design tasks."
22,"Team Leader:- Led the ""BudgetStay project"" and collaborated on 2 personal pet projects.- Oversaw the development of a landing page for ""Tantric massage salon Sensual"" and a mobile application for reserving tables in the restaurant ""FoodieFinder"".- Designed the mobile app for ""FoodieFinder"", focusing on restaurant search and table reservations for user convenience.- Created a landing page for ""Sensual Temple"" to promote the services of a tantric massage salon.- Developed the interface for the ""BudgetStay"" web service, accommodating both work and rest environments with different account types and host options.- Independently conceptualized and redesigned the website for ""India Cafe"" in Pennsylvania, adding necessary pages and appointment booking functionality.- Designed a concept landing page for the Citroen 4 in Ukraine, specifically for test drive orders.Future Goals:- Seeking a UX/UI designer role in a dynamic team dedicated to innovative and sophisticated projects that enhance the connection between service providers and users.- Committed to enthusiastic project execution, skill enhancement, and continuous learning in a professional environment."
23,"Experience:- 15 years of experience as a computer science teacher at a school, teaching topics on raster and vector graphics, 3D modeling, and programming languages.- Worked on website redesign project for a veterinary clinic ""Aibolit,"" involving full design cycle including prototype creation, visual style development, and final product implementation to create a modern and user-friendly design.- Developed ""Coffee Time"" mobile application, completing full design cycle including prototype creation, visual style development, and final product implementation to allow users to scan and pay for goods, bypassing checkout queues.  Skills:- Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva- Figma- Quick learner and adept at applying new technologiesObjective:Seeking a position in a friendly and motivated team where I can contribute my skills and expertise to achieve mutual goals."
24,"• Mobios School (Sep 2021 — Dec 2021)  UX/UI Web Design + Mobile Design• CURSOR Education (Feb 2021 — Jul 2021)  UI/UX Designer • Source IT (courses). (Feb 2015 — Apr 2015)  HTML Layout• H.S. Skovoroda Kharkiv National Pedagogical University  Faculty of Art and Graphics   Ad DesignerLayout Designer at various publishing houses for over 10 years, responsible for developing layouts for books, magazines, and posters. Tasks included page design, search and processing of vector illustrations, creation of bitmap images, compilation of collages, and preparation of products for printing.Graduated from UI/UX Design courses with an emphasis on communication, UX research, wireframing, UI design, mobile app design, and web design. Developed a final project that involved client interviews, competitor analysis, SWOT analysis, UX Persona creation, CJM, information architecture development, wireframes, and design.Seeking a position in a cool and friendly team where I can continue to learn, receive guidance, and grow professionally."
25,"I have achieved several notable accomplishments during my training and projects. Despite my limited experience, I have actively pursued opportunities to showcase my skills and demonstrate my dedication to the field of UI/UX design.1. Successful Completion of UI/UX Design Courses: I successfully completed comprehensive UI/UX design courses, gaining a solid foundation in design principles, user research methodologies, wireframing, prototyping, and interaction design.2. Project Contributions: I actively participated in various design projects during my courses, collaborating with fellow designers, developers, and stakeholders to deliver well-designed user interfaces and engaging user experiences.3. Positive Feedback from Instructors and Peers: Throughout my training, I received positive feedback on my design work, commending my attention to detail, creativity, and ability to incorporate user feedback into design iterations.4. Continuous Learning and Growth: Despite being at the early stages of my career, I have demonstrated a strong commitment to continuous learning, engaging with design communities and staying up-to-date with industry trends to evolve as a UI/UX Designer.Freelance UI/UX Designer (6 months): Developed and created unique user interfaces for various clients, analyzing client requirements, conducting user research, creating information architecture, conducting user experience testing, and creating prototypes. Participated in iterative processes and collaborated with developers to ensure high-quality end products.During this time, I honed my skills in design and user experience, deepened my understanding of the product creation process, and improved my communication and project management skills. Clients received distinctive designs that enhanced user experience and improved conversion rates.Looking to apply my independent work experience, organizational skills, and ability to meet deadlines to a new team, contributing to their goals and adding long-term value.1. User-Centric Approach: I prioritize understanding user needs and expectations to provide a positive user experience.2. Opportunities for Professional Growth: Seeking a company that offers development opportunities to stay current in UI/UX design practices.3. Collaboration and Communication: Skilled at working with a team and communicating effectively with stakeholders to deliver high-quality design solutions."
26,"During my continuous studies, I performed several impactful projects including: - Redesigned the website of a roofing materials plant from outdated and non-functional to a modern, convenient landing page with a unique structure- Created a striking landing page for a tea studio focusing on aesthetics and cultural satisfaction for potential clients- Developed an online store for board games incorporating elements of AI - Improved the Ukrainian cinema network Multiplex application through detailed UX research and proposed solutions to enhance user experienceOver the past eleven months, I have focused on advancing my skills in Ui/Ux design. I have mastered Figma, including components, variants, auto layout, and constraints, as the main tool for web design. Additionally, I proficiently use Photoshop and Illustrator in my work and have experience with Webflow and After Effects for web design and motion graphics.I am dedicated to continuous development in the field of web design and consistently strive to enhance my skills. As a Ukrainian designer, I bring my unique creativity and style to each project, adding a touch of my Ukrainian identity to create original and impactful designs."
27,"Skills:- Proficient in HTML5, CSS3 (responsive and adaptive design), SASS/LESS, flexbox, GIT, and some Java Script- Experience with React.js, including component splitting and developer preparation- Familiarity with Bootsrap- Knowledge of Adobe programs such as Photoshop, Illustrator, InDesign, and Procreate- Quick learner of new software, including FigmaExperience:Freelance Illustrator and Portrait Artist- Prioritized daily work and deadlines for clients and projects- Created commissioned illustrations and portraits- Developed 2d characters for training videosGoal:Grow expertise in UI/UX design to merge art/design and front-end development, with a particular interest in Figma as a design tool."
28,"Experience:- 4 years of experience as a Project and Product Manager- Simultaneously managed 74 projects (websites) and led the development of mobile applications- Managed a team of mobile apps and websites development at Netpeak Group- Completed four design courses in Projector SchoolSkills:- UI/UX design- Landing page design- E-commerce design- Prototyping- Site layout on Tilda- Logo and corporate identity creation- Visiting card and advertising banner design- Manual testing of products- Workflow management- Establishing communication channels between project stakeholders- Organization of retrospectives, backlog grooming, planning poker- Creation of prototypes- Google Analytics and AppsFlyer- Competitor analysis (App Annie, Alexa, Sensor Tower)Looking for:- Interesting projects- Professional growth- Well-organized management processes- Comfortable workplace and friendly team- A company that strives for better results and development of employees and society as a whole through its products and mentality.Thank you."
29,"UX-UI Web DesignerJune 2022 - PresentGraphic/Motion DesignerFreelance | February 2022- Designed and animated motion graphics for social media using Adobe After Effects and other software tools- Stayed up-to-date on the latest design and animation trends and techniques- Improved skills and knowledge through online courses and workshops- Portfolio available on Instagram page Kara_mondEvent ManagerDKG | November 2021 - January 2022- Implemented new ways of event promotion- Developed event feedback surveys and post-event reports- Organized email campaigns and created scripts for them- Coordinated internal resources to ensure successful project completionSocial Media ManagerFreelance | October 2020 - 2022- Designed and implemented social media strategy across 6 Instagram/Facebook company brands- Scheduled, created, and wrote content, video, and images that increased brand awareness- Executed social media presence across Instagram and Facebook- Reported social media KPIs for each channel, including engagement and followers- Learned Photoshop/After Effects to create custom banners and images for campaignsConference Project ManagerBCF | May 2019 - August 2021- Full cycle of event management including developing program, schedule, and concept- Managed in-house and remote team of five- Led up to 6 projects simultaneously- Organized 25+ conferences for Automotive, Medical Device, Pharmaceutical, and Consumer Goods industries- Analyzed feedback for strategic development of future eventsPR Manager (Internal Communications)KazTransOil | December 2015 - August 2017- Created articles and press releases- Managed communication with mass media- Organized charity events on behalf of the company- Created weekly and daily news for internal stakeholders"
30,"Experience:Agro-Industrial Group ‘Pan Kurchak’Aug. 2021 - PresentAdvertising Manager- Responsible for managing social media marketing efforts- Managed company websites to ensure content accuracy and user engagement- Prepared detailed product requirements documents for graphic and web designersAdvertising Agency ‘Ruden Agency’Oct. 2020 - Sep. 2021Social Media Manager- Developed and implemented content plans to drive social media engagement- Wrote and scheduled posts to optimize reach and engagement- Designed custom illustrations for social media postsSkills:- Expertise in creating intuitive wireframes and interactive prototypes- Proficient in adapting designs for responsive interfaces- Skilled in creating user flows to enhance user journeys- Demonstrated quick learning abilities with new design tools and techniques- Open to feedback and continuously seeking ways to improve designsProject Experience:‘PAW Tracker’ Website Design- Designed a user-friendly website for lost pet recovery using empathy-driven design principles‘TableTap’ Mobile App Design- Developed a user-friendly mobile app for restaurant table selection and booking through user research and collaboration effortsObjective:Seeking a full-time position at a company focused on simplifying and enhancing daily experiences. Fast learner, reliable, and ready to tackle challenging tasks."
31,"Director of Department- Promoted to department director less than a year after starting at previous jobFurry Finder- Developed web service for finding lost pets- Collaborated with team members on project during trainingSkandi Restaurant Website Redesign- Led redesign of website to improve readability, design, and functionality- Worked on project during studiesGetshop App- Designed and developed mobile application for selecting gifts with delivery options- Ensured implementation of in-app payments for user convenience- Completed project during coursework"
32,"Web and Mobile Design SpecialistPROJECTOR InstituteCompleted Web design and Mobile application design coursesGBS IT, StartUp - October 2022 - Present- Developed design solutions for desktop and browser versions of applications based on CRM principles- Conducted market and competitor research- Collaborated with customers and developers- Designed 40+ tables in 2D and 3D formats- Animated transitions and actions within the applicationUpwork, Freelance - May 2022 - Present- Created landing page designs for PC and smartphones for a startup producing orthopedic pillows- Developed and designed the mobile application Sommelier, including a database of alcoholic beverages, a store, and event listings- Analyzed and redesigned the Paired mobile application, proposing improvements and creating design solutions- Led a team of 12 employees, focused on analytics, market research, and sales statistics to improve salesLooking to expand knowledge, learn new skills, and contribute effectively to a team."
